Server, Spoken Form (If Different)
zdwiel@192.168.0.104,thinkpad
zdwiel@192.168.0.155,air
zdwiel@68.38.151.136,remote air
zdwiel@68.38.151.136,bender
zdwiel@192.168.0.222,T X 2
zdwiel@192.168.0.105,drum
zdwiel@192.168.0.183,each
zdwiel@192.168.0.210,fine
zdwiel@192.168.0.224,wired T X 2
